artist,genre,title,album,lyrics,labels
Nirvana,Rock,You Know You’re Right,Nirvana,"Nu te voi deranja niciodată, nu mă voi promite niciodată că nu te voi urmări niciodată Nu te voi deranja niciodată nu te mai spuneți un cuvânt, nu mă voi târî din bine, mă voi îndepărta de aici, nu vă veți fi frică de teamă că niciun gând nu a fost pus în asta și am știut întotdeauna că va veni la aceste lucruri nu au fost niciodată atât de umflate, încât nu am reușit niciodată să nu știți că nu aveți dreptate să știți că nu sunteți dreptate că sunteți dreptate, încât nu sunt atât Ea vrea doar să se iubească pe sine, mă voi îndepărta de aici, nu-ți va fi frică de teamă că nu s-a gândit să nu se gândească întotdeauna că nu a venit la aceste lucruri nu au fost niciodată atât de umflate încât nu am reușit niciodată să nu reușesc, știi că ai dreptate, știi că ai dreptate, știi că știi că ai dreptate, știi că ai dreptate că știi că ai dreptate că știi că ai dreptate, știi că știi că știi că știi dreptate Drepturile dvs. vă cunoașteți drepturile vă cunoașteți drepturile","['Calmness', 'Sadness']"
Damian Marley,Reggae,Here We Go,Stony Hill,"Aici mergem ego-ul meu cel mare este gon na mă puneți probleme încercând să joc erou blugii mei nu pot fi strânși ca Michael Phelps Speedo, nu jucăm să urmărim moda atunci când vom conduce acum, cu aspect aici, ideile mele mari Gon na Introduceți-mă acum printre colegii mei, dar nu am teamă să nu deranjați lacrimi de plâns, sunt doar kilometri înainte când sunt în fața anilor lumină aici ... Învață-te doar adevăr, este Mister cald and Easy Somebonepyous te rog crede-mă pentru lucrurile pe care le faci Jah vă urmărește omul a wah face niște Likkle Bomboclaated Weh Simți ca acestea mari, pentru că este un album de demit, bine, tot cardul rău va fi ignorat, fără punk cyaan finisaj, ceea ce a început Bob Marley Gong către Zilla I Am Don Die-Heart awhere n Anywhere nah uny uny Red Carpet one Man A Buy și Nah, nu Haid, Heart, nicăieri, nah, pentru a face un migfit carpet roșu oare un manilla, iar nah, nu este hait, nicăieri. egoist, cum ar fi piața de dem și va fi recompensat de dem skin Dem Dem Favoare mort pentru Rahtid Suflet prea corupt și Dem Blemish și vina Real Rastaman, nu putem fi înlăturați Gong-ului nu este singurul Bwoy să ia șansa cu antic Nazarite, să-l facem pe Marea Roșie să ofere recolta în secetă și cu penurie cu Jah de la My Finale I a obținut tot ce a avantajat aici ... Aici am venit din nou Gong cu Jah de la Mea Grand, am primit toate avantajele aici. Nu am nici o teamă .. căci doar eu o fac în mod regulat prin fiecare deal și vale, sunt aici pentru a te învăța doar adevărul, este Mister cald și ușor cineva, te rog să mă crezi pentru lucrurile pe care le faci Jah te urmărește, așa că cumpără biletele tale la spectacol, ajung să-ți apuci din timp un loc, adevăratul gong este în casă, orice altceva contrafăcut dacă nu am fost în preajmă, este o parte din mystique, așa cum am fost ocupat, așa cum am vorbit, dacă am câștigat în jurul ei, este o parte din mystique, așa cum am fost ocupat, așa că am vorbit că am câștigat pe o parte din mystique, așa cum am fost ocupat, așa că am fost câștigat pe când am câștigat pe săptămână Strength Alone Continy Fi di Justice unde îl căutăm, așa că urmează câteva dj cah dem înotând un creek dem inna rahat mai adânc când timpul se întâlnește și dacă cumpărați bullshit-ul, atunci nu pierdeți chitanța lor legată de auto-distructul mi-am în urmă cu low dem mek, vedeți-l pe Demon SEW Weh Dem a reap Dem Think say Jah nu se va vedea când este o etapă, precum și dansul și un club de dem complet, iar dance nu se va face pe etapă și un dans, precum și dansul și dansul și un dans, și dansul și dansul și dansul și dansul și dansul și dansul și dansul și dansul și dansul și dansul și dansul, în mod complet, și dansul și dansul și dansul și club Greek Dem Renk și Dem A Reek Dem Pop Down One pe săptămână Dem întotdeauna agitat, dar întoarce-l pe celălalt pe pământ, pământul este pentru blândețe aici. Aici vin din nou Gong rulează inițial Fi Marele final nu am nici o teamă. Căci doar eu o fac în mod regulat prin fiecare deal și vale, sunt aici pentru a te învăța doar adevărul, este o mie de cald și ușor, te rog să-mi crezi că pentru lucrurile de a-l urmări pe mine drop mi deejay til 'me hoarse a bun venit pe rock te-ai gândit la o lingură de argint sau like it drop inna mi lap me semnează un miliard de autograf până în prezent, turneul nu este o oprire comercială pentru privilegiul IT echilibrul când s-a schimbat Tony Rebel spun că un reggae a pus Jamaica „Pon the Map Who I'm Eu să nu furam când am recoltat în primul rând recolta la 23 de eliberare” Spune-mi care este un Dem să facă asta un alt tur la 27, adaugă-l și face matematica greutatea, dem un transport care nu este greu ca mine încuietori Sunt un veteran cel mai tânăr care să fie exact ghetoul oamenii mă iubesc rău, cred că opusul atrag uptown m-am născut și cresc Stony Hill pentru a marca locul mare Gong la Zilla și întoarcerea Mac-ului Mac și pentru a întoarce Mac Mac și pentru","['Power', 'Tension']"
The Mission UK,Rock,Jade,Another Fall from Grace,"Împodobit cu vedete cu aluzia ei abia și un univers dintre noi, mi-a arătat abilitatea ei cu cuvinte și i-am arătat că cicatricile mele nu greșesc bunătatea pentru afecțiune, ea a spus că nu lasă niciodată atenția să meargă la capul tău, nu mai mult să-l lăsăm pe moarte să împartă ceea ce viața poate să se alăture, ci doar să nu-ți amintească că nu poate dura nimic pentru totdeauna, iar Jade este binecuvântare, este o rugăciune tăcută, dar jadul nu este decât să se afle că este un lucru care să poarte și să fie căutat. munca de ficțiune nimic altceva decât castele în aer, cu atât mai scurt, lesa, cu atât mai greu îmi voi trage paharul este gol, când odată ce a fost plin, aș vrea să pot fi Isus și să transform apa în vin pentru că toți strugurii mei s-au ofilit pe viță de vie cu un zâmbet precum mercur evaziv și fey, există o frumusețe în noapte, care nu poate fi văzută de zi, ea este o bijuterie de sârmă, iar el este un brutesc de la Barbed, iar apostalul este crud, care se va distruge, cum ar fi cel mai mult Daizling, iar JADESESSABIL ANGENSE și JADE ASATABLE și CRUILĂ, care să-mi distrugă rezistența, precum cea mai mare parte a lui Barbed, iar JADE, iar el este crud. Abandoned Faith and Hope Jade is Hypocrisy She is Kaleidoscope And Jade is Precious Stone Impervious and Rare And Jade will never atone For the Flowers in her Hair And Jade never sleeps alone there is always someone there With Jade To rest their Head on her thigh To make her moist when she is dry To hold the Breath of every sigh To pledge their Life and how to Die To kiss the sleep from her Eyes To dry the Tears when she Cries And Jade is all and Jade nu este niciunul și Jade este lună și ea este soare și Jade ești tu și toată lumea și ea este eu și tot ce am făcut și Jade este pierdut și ea este câștigată și Jade este împușcat cu glonțul din arma ta ...","['Amazement', 'Calmness', 'Solemnity', 'Tenderness']"
UB40,Reggae,Food For Thought,Signing Off,"Ivory Madonna dying in the dust Waiting for the manna coming from the west Barren is her bosom empty as her eyes Death a certain harvest scattered from the skies Skin and bones is creeping does not know he is dead Ancient eyes are peeping from his infant head Politicians argue sharpening their knives Drawing up their bargains trading baby lives Ivory Madonna dying in the dust Waiting for the manna coming from the west Hear the bells are ringing Christmas on it is way Hear Îngerii cântând ce spun ei? Mănâncă și bea bucurie bucuria este să auzi să rămâi Iisus, fiul Mariei se naște din nou astăzi Ivory Madonna murind în praf așteptând manna venind din vestul Madonna Ivory murind în praf așteptând Manna venind din vest","['Joyful activation', 'Sadness', 'Tension']"
Johnny Cash,Country,I’ve Been Everywhere,American II: Unchained,"I was toting my pack along the dusty Winnemucca road When along came a semi with a high ang canvas covered load "" If you are going to Winnemucca Mack with me you can ride "" And so I climbed into the cab and then I settled down inside He asked me if i would seen a road with so much dust and sand And I said "" Listen i have traveled every road in this here land "" i have been everywhere man i have been everywhere man Crossed the desert 's Bare bărbat, am respirat omul de călătorie de la munte, îl am pe omul meu împărtășit, am fost peste tot, am fost la Reno Chicago Fargo Minnesota Buffalo Toronto Winslow Sarasota Wichita Tulsa Ottawa Oklahoma Tampa Panama Mattawa Paloma Bangor Baltimore Salvador Amarillo, care a fost MAN INECOPILLA BARRANQUILLA și PADILIL IAM A A AM ADOUNE everywhere man Crossed the desert 's bare man i have breathed the mountain air man Of travel i have a'had my share man i have been everywhere i have been to Boston Charleston Dayton Louisiana Washington Houston Kingston Texarkana Monterey Faraday Santa Fe Tallapoosa Glen Rock Black Rock Little Rock Oskaloosa Tennessee to Hennessey Chicopee Spirit Lake Grand Lake Devil 's Lake Crater Lake for Pete 's sake i have been everywhere man i have been everywhere man Crossed the desert 's bare man i have breathed the mountain air man Of travel i have a'had my share man i have been everywhere i have been to Louisville Nashville Knoxville Ombabika Schefferville Jacksonville Waterville Costa Rica Pittsfield Springfield Bakersfield Shreveport Hackensack Cadillac Fond du Lac Davenport Idaho Jellico Argentina Diamantina Pasadena Catalina see what I mean'a i have been everywhere man i have been everywhere man Crossed the desert 's bare man i have breathed the mountain air man Of travel i have a'had my share man i have been everywhere i have been to Pittsburgh Parkersburg Gravelbourg Colorado Ellensburg Rexburg Vicksburg El Dorado Larimore Admore Haverstraw Chatanika Chaska Nebraska Alaska Opelaka Baraboo Waterloo Kalamazoo Kansas City Sioux City Cedar City Dodge City ce păcat am fost peste tot omul am fost peste tot, omul a traversat omul gol de deșert am respirat aerul de munte","['Amazement', 'Calmness', 'Joyful activation']"
Alan Jackson,Country,It’s Five O’Clock Somewhere,Greatest Hits Volume II Disc 1,"Soarele este cald și acel ceas vechi se mișcă lent și eu, așa că eu, ziua de lucru trece ca melasa în timpul iernii, dar este iulie, sunt plătit de ora în vârstă mai mare până în momentul în care șeful meu m-a împins peste limită, aș dori să-l numesc ceva, cred că o voi numi doar o zi, să-mi toarne ceva înalt, o face să-l fac un „uragan” înainte de a mă înnebuni, este doar o jumătate de jumătate de twelve, dar nu-mi place să-l îngrijesc. Jumătate în noapte mâine dimineață știu că va fi iadul de plătit, dar este în regulă, nu am avut o zi liberă acum peste un an, vacanța noastră jamaicană, Gon na, începe aici, dacă telefonul este pentru mine, poți să-i spun că am plecat doar înnebunit și îmi va turna ceva înalt, dar nu-mi pasă de mine, dar nu-mi pasă de mine, dar nu-mi pasă de mine, dar nu-mi pasă de mine Reveniți la muncă înainte de două, într-un moment ca acesta, nu pot să nu mă întreb ce ar face Jimmy Buffett? Amuzant, ar trebui să-l întrebați pe Alan, aș spune „turnați-mi ceva înalt ang puternic, faceți-o„ uragan ”înainte de a mă înnebuni, este doar jumătate-trecut de doisprezece, dar nu-mi pasă„ turnați-mi ceva înalt și puternic, faceți din „uraganul” înainte de a mă înnebuni, este doar jumătate-trecut de douăsprezece, dar nu-mi pasă că nu-i pasă că nu-mi pasă, este cinci din ceas în ce mai multe ori pe care o sunt pe care o am? În ce țară mă aflu? Nu contează că este cinci din ceas undeva, este întotdeauna pe cinci în Margaritaville, vino să mă gândesc la asta, am auzit că ai fost acolo, nu ai văzut că am văzut barca ta acolo, am fost la Margaritaville de câteva ori, de cele mai multe ori, este bine să mă împiedice până la întoarcere, bine, vreau să mă asigur că îl poți ține între balizele de navigație între fluturi, spun că îți spun dreptate. Ei bine, sunt cinci ceasuri. Haideți să mergem undeva, sunt gata să-l porniți, lăsați-ne să ieșim de aici, am plecat","['Sadness', 'Solemnity', 'Tension']"
Snoop Dogg,Hip-Hop,Beautiful,Paid Tha Cost To Be Da Bo$$,"Frumos, vreau doar să știi că ești fata mea preferată, există ceva despre tine frumos, vreau doar să știi că ești fata mea preferată, există ceva despre tine, știu că nu-l pierzi pe acest nou rahat snoop vino pe baby boo you gots to it in it nu te păcăli cu jucătorul cu biciul cool, știi că sunt întotdeauna pe acel rahat răcoros, făcând-o cum o faci, cu un pahar Ai fost o fată cu care m-am dus la școală a trebuit să-i spun mamelor și sorei tale să-l răcească, fata vrea să o facă, aș putea să o fac să o lovească cu niște proxenete proxenete mami fluide nu-ți face griji că nu o voi abuza de grăbit și de terminată, astfel încât să putem urmări neîncredere, râd de acești niggas atunci când o să-l întreb pe „cine face asta?” despre tine, când îmi văd bebelușul, rahat, am prost un nigga care încearcă să-l urmărească pe ea, pe care a luat-o doar mutați-l, v-am cerut frumos, nu faceți ca dogg-ul să-l piardă, doar aruncăm dro și menținem fluxul în mișcare într-un '64 eu și bebelușul de croazieră de croazieră interiorul de raguri și să le facem hidulică și să scapăm atunci când am înșurubat acum, ea scoate din Blue, „Snoop!” holling urlând negru și frumos, cel pe care îl aleg părul lung subțire și ondulat, ca și cum ești cubanez, continuă să te pui, ceea ce facem și gong să fim împreună până când mamele tale se mută acolo, există ceva despre tine frumos, vreau doar să știi că ești fata mea preferată, există ceva despre tine, vreau doar să știi că ești fata mea preferată, există ceva despre tine, vezi că doar că vrei să știi că ești cu adevărat special Sunt cu adevărat speciale, există ceva despre tine, my my my my my este ceva despre tine îmbrăcămintea dogg, ceea ce sunt îngrijit în tine, mi-am luat pozele pe peretele din camera ta și fetele se plâng că mă ții în plină expansiune, dar fetele ca asta vor să asculte Pat Boone, există ceva despre tine, o fată de facultate, dar că nu te împiedică să te descurci și să-mi vezi că se ridică cu degetele în apropierea ta și să te rog să te întrebi de ce să te rostogolești și să-l vezi. este ceva despre tine pe Eastside, care este echipajul pe care nu-l aleg, nimic din care fac nu este nou pentru tine. Special Există ceva despre tine, my my my my my want doar tu să știi că ești cu adevărat special, există ceva despre tine my my my my ... există ceva despre tine ... - hooo! Ehh ... există ceva despre tine ... - Hooo! Ehh ... există ceva despre tine ... - Hooo!","['Amazement', 'Joyful activation', 'Solemnity', 'Tenderness']"
Pink Floyd,Rock,Hey You,The Wall,"Ești acolo, la frig, îmbătrânesc singuri, mă poți simți? Stai în culoar cu mâncărime și zâmbete decolorate, mă poți simți? Nu îi ajutați să îngroape lumina, nu renunțați fără să vă luptați acolo, pe cont propriu, stând gol de telefon, m-ați atinge? Tu cu urechea pe perete, așteptând ca cineva să sune, m-ai putea atinge? M-ai ajuta să port piatra? Deschide-ți inima, vin acasă, dar era doar fantezie, peretele era prea mare, deoarece poți vedea, indiferent de cum a încercat, nu a putut să se elibereze și viermii i-au mâncat în creierul lui, pe drum, pe drum, făcând mereu ceea ce vi se spune că mă puteți ajuta? Ești acolo, dincolo de perete, ruperea sticlelor din hol, mă poți ajuta? Nu-mi spuneți că nu există nicio speranță deloc împreună, stăm împărțiți noi cădem noi cădem, cădem, cădem că cădem noi cădem noi cădem ...","['Nostalgia', 'Power', 'Sadness', 'Tenderness']"
De La Soul,Hip-Hop,Buddy,3 Feet High and Rising,"Salut meany meany meany spune ce? Meany însemnat înțelept spune ce? Meany însemnat înseamnă că înseamnă că ai făcut asta din nou, purtând din nou, însemând meany, spune ce? Meany însemnat înțelept spune ce? Meany Meany Meany Meany înseamnă bine, salut, este sufletul trupering in wit the jungle patrule și acesta despre ko-ul koouts de acolo, care ține amicul meu, așteptați un minut acum doar așteaptă că suntem gon na, despre amicul pe această farfurie, dar înainte să lăsăm efectivul să se asigure că toate nivelurile sunt dreptate, în jungle, jungle, frați, frați de soul de la Soul Black Medallions, fără jungle. Buddy Buddy, totul în fața mea pentru poală, Jimbrowski trebuie să poarte o șapcă doar în cazul în care tânăra îi place să aplice nu sunt pentru vânt, dar înainte de a începe, voi iniția amicul cu o palmă acum pentru următorul, eu sunt de la un trib a chemat și când voi căuta cel mai bun pentru amic, nu-l fac pe fess pentru că Jimmy nu vrea altceva decât cel mai bun lucru cel mai bun lucru! Lasă-ne să-l scoatem pe Jimmy și să vedem ce putem prinde stick-ul Em Up Stick Em Up Jimmy Nets nu va fi necesar decât dacă Jenny nu vrea să ajungă drept la carne femeie dulce dulce femeie dulce, nu voi minți, îmi place de ce nu l-am lăsat niciodată să meargă pe când vine vorba de mine și Jenny, par foarte serios, cum ar fi o privire pâlpâie, este actul care apare pe ascensiune, chiar dacă Jenny și chiar și Jimmy începe să trag cadoul, care să se ridice pe ele, atunci când Jenny și chiar și Jimmy începe să tragă cadoul, care să-mi dea jos Buddy Buddy Nu știi că mă faci să mă descurc, sunt atât de bucuros că nu ești un duddy fuddy, nici prea slab și nu prea dolofan moale, cum ar fi stupidul prost, domnișoara Crabtree Sper că nu ești supărat pe mine pentru că ți-am spus că am fost amicul tău care mă făcea niciodată atât de excitat de junglelist în mod corofat pe apelul meu, sau nu, în mod obișnuit, pentru că nu-mi s-a plutit. Gon na flip Acest amic record este mugurul copacului meu de margarete și Luden pentru mine și plăcut pentru omul meu plug 3 plug 3 primește tot amicul din spatele tufișului meu, amicul meu îi place felul în care împing și ca un campion, doar să-l bat niciodată, niciodată, o dată să-mi vând sau să-l las pe sucul meu, mă ajută să-mi păstrez sufletul, păstrându-l pe Jimmy în control total, fără ca și cum ar fi să-l fac pe suflet să-l fac pe Suflet, în căutarea unui control total, fără a-l face pe Suful, care ar fi fost să-l fac pe Suful pe care îl am să-l auzim pe Jimmy în ceea ce privește un control total, fără să-i fac pe Suful să fiu pe care să-l fac pe Suilt, care să-mi fi auzit pe Jimmy în totalitate, în total, în cazul în care teectul de aici, ar fi fost să-l fac pe Suful pe care îl voi face pe Suilt. Este ceea ce vom găsi o mulțime de distracții foarte distractive împreună împreună, la fel ca și verișorii, care este cam inteligent aproape, cum ar fi sânii sânii să rămâi aproape dacă vei fi amicul meu, mă voi lăuda că suntem ca Ethel Mertz și Lucille MacGillicuddy, poți fi al meu și că pot fi amicul tău, cel mai bun amic din Evening, care iubește mult tease my buddy with my right leg And when it is ready what is said is buddy is best in bed Word Fly buddy told us all to get into a circle Said do not worry cause I will not hurt you All I really wanna do is freak you she freaked us And I watched and then I checked my Swatch To see the time The Soul had formed a buddy line And that buddy was mine all mine Now when Tribe the Jungle and De Soul Is at the clubs our ritual unfolds Grab our bones and Începeți să ne balansăm mâinile, atunci Jenny începe să-l aglomereze peste tot pentru că Jenifa vrea doar să rămână conștienți de semeni ar trebui să o ținem conștienți?!","['Amazement', 'Joyful activation', 'Tenderness']"
Placebo,Rock,Running Up That Hill,Covers,"„Dacă aș putea doar să alerg pe acel deal, dacă aș putea doar să alerg pe dealul acela”, nu mă doare, vrei să simți cum se simte? Vrei să știi că nu mă doare? Vrei să afli despre afacerea pe care o fac? You be running up that hill You and me be running up that hill And if I only could Make a deal with God i would get him to swap our places Be running up that road Be running up that hill Be running up that building If I only could You do not want to hurt me But see how deep the bullet lies Unaware that i am tearing you asunder there is a thunder in our hearts baby So much hate for the ones we love Tell me we both matter do not we? Voi alergați pe dealul pe care voi și cu mine îl alergați pe dealul pe care tu și cu mine nu vom fi nefericit și, dacă aș putea face o înțelegere cu Dumnezeu, l-aș determina să schimbe locurile noastre să alerge pe drumul respectiv, să alergi pe deal, să alergi pe acea clădire, dacă aș putea veni doar pe bebeluș, vino, să ne lasăm draga, lăsați-mă să furi pe acest moment din acest moment Fără nicio problemă, dacă aș putea face o înțelegere cu Dumnezeu, l-aș determina să schimbe locurile noastre să alerge pe acel drum care curg pe dealul respectiv, fără nicio problemă, dacă aș putea alerga doar pe acel deal, dacă aș putea să alerg doar pe acel deal, dacă aș putea să alerg pe acel deal doar dacă aș putea alerga doar pe acel deal doar dacă aș putea să alerg pe dealul respectiv doar dacă aș putea alerga pe deal doar dacă aș putea să alerg doar pe dealul de pe deal doar pe deal doar dacă aș putea alerga pe deal doar dacă aș putea să alerg doar pe dealul de pe deal doar dacă aș putea alerga pe dealul respectiv doar dacă aș putea alerga pe deal doar pe deal","['Sadness', 'Tenderness', 'Tension']"
